state,city,station,mean_avg,mean_spread,anomaly_rate,n_readings,persistence,spis,risk_band
Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",29.714285714285715,19.857142857142858,0.0,7,2.0794415416798357,22.229502794153174,Low
Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",28.142857142857142,22.571428571428573,0.0,7,2.0794415416798357,22.22627521153499,Low
Bihar,Saharsa,"Police Line, Saharsa - BSPCB",29.857142857142858,19.0,0.0,7,2.0794415416798357,22.155599742717552,Low
Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",75.0,27.5,0.0,2,1.0986122886681098,22.146967565227218,Low
Punjab,Khanna,"Kalal Majra, Khanna - PPCB",30.714285714285715,17.428571428571427,0.0,7,2.0794415416798357,22.146309704534684,Low
Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",30.571428571428573,17.285714285714285,0.0,7,2.0794415416798357,22.098656840249664,Low
Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",36.833333333333336,18.166666666666668,0.0,6,1.9459101490553132,22.088516047101447,Low
Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",23.142857142857142,29.714285714285715,0.0,7,2.0794415416798357,22.034461081024237,Low
Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",25.142857142857142,25.857142857142858,0.0,7,2.0794415416798357,21.989630817507898,Low
Assam,Silchar,"Tarapur, Silchar - PCBA",25.0,25.142857142857142,0.0,7,2.0794415416798357,21.87251742995394,Low
Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",35.666666666666664,17.333333333333332,0.0,6,1.9459101490553132,21.739869627347336,Low
Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",25.857142857142858,22.428571428571427,0.0,7,2.0794415416798357,21.7243063452332,Low
Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",30.857142857142858,13.428571428571429,0.0,7,2.0794415416798357,21.6903737751199,Low
Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",22.571428571428573,27.714285714285715,0.0,7,2.0794415416798357,21.670198315711815,Low
Chhattisgarh,Korba,"Rampur, Korba - CECB",29.714285714285715,15.0,0.0,7,2.0794415416798357,21.639088346367203,Low
Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",22.142857142857142,27.571428571428573,0.0,7,2.0794415416798357,21.561969984491228,Low
TamilNadu,Chengalpattu,"Crescent University, Chengalpattu - TNPCB",29.571428571428573,14.428571428571429,0.0,7,2.0794415416798357,21.539340089630482,Low
