country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,exceedance_range,avg_to_max_ratio,hour,date,is_anomaly
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2025-02-14 17:00:00,23.016834,72.625775,SO2,14.0,105.0,65.0,91.0,0.6190476190476191,17,2025-02-14,True
India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",2025-02-14 17:00:00,22.678,75.8559,SO2,49.0,53.0,51.0,4.0,0.9622641509433962,17,2025-02-14,True
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",2025-02-14 17:00:00,18.9767,72.838,NH3,10.0,34.0,19.0,24.0,0.5588235294117647,17,2025-02-14,True
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",2025-02-14 17:00:00,19.10122,74.73339,OZONE,13.0,175.0,174.0,162.0,0.9942857142857143,17,2025-02-14,True
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",2025-02-14 17:00:00,19.8389439,75.244448,CO,14.0,122.0,84.0,108.0,0.6885245901639344,17,2025-02-14,True
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2025-02-14 17:00:00,19.047,72.8746,NO2,67.0,205.0,118.0,138.0,0.5756097560975609,17,2025-02-14,True
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",2025-02-14 17:00:00,18.530085,73.849598,NO2,93.0,221.0,136.0,128.0,0.6153846153846154,17,2025-02-14,True
India,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",2025-02-14 17:00:00,20.9360711,85.1707021,PM10,81.0,420.0,217.0,339.0,0.5166666666666667,17,2025-02-14,True
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB",2025-02-14 17:00:00,23.55519,74.44001,OZONE,5.0,178.0,176.0,173.0,0.9887640449438202,17,2025-02-14,True
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",2025-02-14 17:00:00,17.349694,78.451437,NO2,75.0,135.0,103.0,60.0,0.762962962962963,17,2025-02-14,True
