state,city,station,mean_avg,max_avg,n_readings
Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",75.42857142857143,176.0,7
Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",75.0,86.0,2
Delhi,Delhi,"Wazirpur, Delhi - DPCC",74.85714285714286,152.0,7
Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",74.42857142857143,190.0,7
West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",74.28571428571429,148.0,7
Odisha,Balasore,"Kalidaspur, Balasore - OSPCB",74.0,175.0,7
Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",73.42857142857143,146.0,7
Delhi,Delhi,"Mundka, Delhi - DPCC",73.0,191.0,7
Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",72.85714285714286,144.0,7
Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",72.83333333333333,144.0,6
Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",71.85714285714286,176.0,7
Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",71.16666666666667,131.0,6
Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB",71.14285714285714,156.0,7
West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB",70.71428571428571,150.0,7
Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",70.57142857142857,141.0,7
Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",69.85714285714286,157.0,7
West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",69.71428571428571,174.0,7
Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",69.66666666666667,127.0,6
West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",69.42857142857143,165.0,7
Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",69.28571428571429,135.0,7
Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB",69.28571428571429,182.0,7
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",69.0,149.0,5
Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",69.0,183.0,7
Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",68.85714285714286,136.0,7
Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",68.71428571428571,228.0,7
West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",68.42857142857143,142.0,7
Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",67.85714285714286,137.0,7
West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB",67.66666666666667,203.0,6
Maharashtra,Solapur,"Solapur, Solapur - MPCB",67.5,108.0,4
Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB",67.42857142857143,136.0,7
Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",67.28571428571429,144.0,7
Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB",66.42857142857143,176.0,7
Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",66.0,137.0,7
Delhi,Delhi,"Najafgarh, Delhi - DPCC",65.85714285714286,179.0,7
Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB",65.71428571428571,187.0,7
West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",65.71428571428571,178.0,7
Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",65.5,119.0,2
Delhi,Delhi,"Chandni Chowk, Delhi - IITM",65.42857142857143,127.0,7
Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",65.42857142857143,132.0,7
Maharashtra,Mumbai,"Malad West, Mumbai - IITM",65.14285714285714,176.0,7
West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",64.28571428571429,109.0,7
West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",64.28571428571429,170.0,7
Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB",64.0,122.0,7
Rajasthan,Churu,"Subash Chowk, Churu - RSPCB",63.857142857142854,163.0,7
Delhi,Delhi,"Pusa, Delhi - IMD",63.8,110.0,5
Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB",63.42857142857143,147.0,7
Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",62.857142857142854,126.0,7
Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",62.714285714285715,112.0,7
Maharashtra,Mumbai,"Sion, Mumbai - MPCB",62.666666666666664,119.0,6
Delhi,Delhi,"Mandir Marg, Delhi - DPCC",62.42857142857143,145.0,7
Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",62.4,100.0,5
Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB",62.166666666666664,111.0,6
Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",62.0,122.0,7
Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",61.857142857142854,145.0,7
Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",61.857142857142854,181.0,7
Maharashtra,Pune,"Karve Road, Pune - MPCB",61.833333333333336,126.0,6
Bihar,Patna,"Samanpura, Patna - BSPCB",61.42857142857143,151.0,7
West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",61.42857142857143,152.0,7
Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",61.42857142857143,117.0,7
Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",61.142857142857146,144.0,7
Delhi,Delhi,"Aya Nagar, Delhi - IMD",61.0,114.0,5
West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",60.42857142857143,147.0,7
Assam,Guwahati,"Railway Colony, Guwahati - PCBA",60.333333333333336,158.0,6
Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",60.285714285714285,128.0,7
Rajasthan,Dungarpur,"Bhoiwada, Dungarpur - RSPCB",60.285714285714285,159.0,7
Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",60.2,111.0,5
Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",60.0,121.0,7
Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",59.857142857142854,132.0,7
Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",59.857142857142854,115.0,7
Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM",59.8,153.0,5
West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",59.714285714285715,157.0,7
Maharashtra,Navi Mumbai,"Kopripada-Vashi, Navi Mumbai - MPCB",59.57142857142857,118.0,7
Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",59.57142857142857,141.0,7
Delhi,Delhi,"Bawana, Delhi - DPCC",59.42857142857143,154.0,7
Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB",59.42857142857143,162.0,7
Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",59.285714285714285,103.0,7
West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",59.142857142857146,145.0,7
Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",59.0,129.0,7
Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB",59.0,135.0,7
Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB",58.714285714285715,110.0,7
Delhi,Delhi,"Patparganj, Delhi - DPCC",58.57142857142857,134.0,7
Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",58.285714285714285,111.0,7
Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",58.142857142857146,114.0,7
West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",58.0,157.0,7
Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB",57.857142857142854,115.0,7
Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",57.857142857142854,138.0,7
Delhi,Delhi,"Rohini, Delhi - DPCC",57.714285714285715,125.0,7
Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB",57.714285714285715,123.0,7
Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB",57.57142857142857,141.0,7
Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",57.5,100.0,4
Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",57.142857142857146,135.0,7
Delhi,Delhi,"Burari Crossing, Delhi - IMD",57.0,124.0,5
Rajasthan,Rajsamand,"Dhoinda, Rajsamand - RSPCB",57.0,124.0,7
Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",57.0,99.0,7
West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",56.857142857142854,127.0,7
Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB",56.857142857142854,152.0,7
Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",56.857142857142854,127.0,7
Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD",56.8,120.0,5
Delhi,Delhi,"R K Puram, Delhi - DPCC",56.714285714285715,147.0,7
Delhi,Delhi,"Pusa, Delhi - DPCC",56.57142857142857,136.0,7
Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",56.42857142857143,115.0,7
Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",56.42857142857143,139.0,7
Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",56.42857142857143,116.0,7
Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",56.142857142857146,128.0,7
Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",56.142857142857146,112.0,7
Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",56.0,97.0,5
Odisha,Nayagarh,"Dabuna, Nayagarh - OSPCB",56.0,121.0,5
Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",56.0,120.0,6
Maharashtra,Pune,"Dhankawadi, Pune - IITM",55.8,78.0,5
Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",55.57142857142857,91.0,7
Rajasthan,Kota,"Nayapura, Kota - RSPCB",55.42857142857143,109.0,7
Delhi,Delhi,"Sirifort, Delhi - CPCB",55.285714285714285,116.0,7
Haryana,Panchgaon,"Amity University, Panchgaon - IITM",55.142857142857146,108.0,7
Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB",55.142857142857146,134.0,7
Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",55.142857142857146,104.0,7
Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",55.0,106.0,5
Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",55.0,110.0,7
Delhi,Delhi,"Alipur, Delhi - DPCC",55.0,120.0,7
Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",55.0,147.0,6
Maharashtra,Mumbai,"Byculla, Mumbai - BMC",55.0,107.0,7
Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB",54.57142857142857,122.0,7
Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",54.42857142857143,124.0,7
Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements",54.333333333333336,89.0,3
Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",54.285714285714285,127.0,7
Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB",54.142857142857146,133.0,7
Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB",53.857142857142854,122.0,7
Odisha,Angul,"Hakimapada, Angul - OSPCB",53.857142857142854,99.0,7
TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",53.8,100.0,5
Gujarat,Surat,"Science Center, Surat - SMC",53.6,68.0,5
Rajasthan,Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",53.57142857142857,128.0,7
Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",53.57142857142857,116.0,7
Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",53.5,85.0,6
Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB",53.42857142857143,154.0,7
Rajasthan,Dausa,"Khatikan Mohalla, Dausa - RSPCB",53.42857142857143,138.0,7
Delhi,Delhi,"Lodhi Road, Delhi - IMD",53.4,120.0,5
Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",53.333333333333336,99.0,6
Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",53.0,75.0,2
West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB",52.857142857142854,121.0,7
Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",52.8,98.0,5
Maharashtra,Mumbai,"Sewri, Mumbai - BMC",52.75,85.0,4
West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",52.714285714285715,149.0,7
Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB",52.714285714285715,130.0,7
Maharashtra,Navi Mumbai,"Mahape, Navi Mumbai - MPCB",52.57142857142857,116.0,7
Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",52.42857142857143,118.0,7
Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",52.285714285714285,113.0,7
Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",52.142857142857146,108.0,7
Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",52.0,159.0,7
Delhi,Delhi,"DTU, Delhi - CPCB",51.857142857142854,131.0,7
Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",51.857142857142854,114.0,7
Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",51.714285714285715,119.0,7
Rajasthan,Karauli,"Satyawati Vihar, Karauli - RSPCB",51.666666666666664,98.0,6
Delhi,Delhi,"ITO, Delhi - CPCB",51.142857142857146,104.0,7
Delhi,Delhi,"Shadipur, Delhi - CPCB",50.714285714285715,96.0,7
Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",50.6,121.0,5
Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",50.0,94.0,7
Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",50.0,138.0,7
Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",49.57142857142857,83.0,7
Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",49.5,55.0,2
Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB",49.5,148.0,6
Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",49.42857142857143,101.0,7
Maharashtra,Navi Mumbai,"Tondare-Taloja, Navi Mumbai - MPCB",49.42857142857143,131.0,7
Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",49.333333333333336,133.0,6
Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",49.285714285714285,84.0,7
Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB",49.142857142857146,121.0,7
Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",48.714285714285715,108.0,7
Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB",48.57142857142857,102.0,7
Maharashtra,Navi Mumbai,"Sanpada, Navi Mumbai - MPCB",48.57142857142857,138.0,7
Rajasthan,Bundi,"New Colony, Bundi - RSPCB",48.57142857142857,106.0,7
Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB",48.42857142857143,96.0,7
Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",48.333333333333336,124.0,6
Odisha,Baripada,"Meher Colony, Baripada - OSPCB",48.285714285714285,98.0,7
Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",48.285714285714285,115.0,7
Odisha,Bileipada,"Tata Township, Bileipada - OSPCB",48.142857142857146,129.0,7
Odisha,Suakati,"OMC Colony, Suakati - OSPCB",48.142857142857146,128.0,7
Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",48.0,88.0,7
Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB",48.0,100.0,7
West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",47.714285714285715,117.0,7
Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",47.57142857142857,113.0,7
Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",47.57142857142857,111.0,7
Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB",47.285714285714285,115.0,7
Maharashtra,Thane,"Kasarvadavali, Thane - MPCB",46.857142857142854,102.0,7
Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",46.714285714285715,125.0,7
Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",46.714285714285715,135.0,7
Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",46.714285714285715,98.0,7
Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",46.42857142857143,172.0,7
Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",46.142857142857146,128.0,7
Telangana,Hyderabad,"Central University, Hyderabad - TSPCB",46.142857142857146,123.0,7
Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",46.142857142857146,104.0,7
Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",46.0,120.0,7
Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB",46.0,130.0,7
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",46.0,121.0,7
Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",45.857142857142854,169.0,7
Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",45.833333333333336,86.0,6
Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",45.714285714285715,102.0,7
Karnataka,Udupi,"Brahmagiri, Udupi - KSPCB",45.6,90.0,5
Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",45.57142857142857,96.0,7
Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",45.42857142857143,104.0,7
Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",45.285714285714285,105.0,7
TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB",45.285714285714285,102.0,7
Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",45.166666666666664,115.0,6
Maharashtra,Boisar,"Khaira, Boisar - MPCB",45.142857142857146,94.0,7
Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",45.142857142857146,85.0,7
Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",45.0,85.0,5
Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB",44.714285714285715,100.0,7
Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",44.57142857142857,102.0,7
Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",44.142857142857146,86.0,7
Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",44.0,103.0,7
Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",43.857142857142854,120.0,7
Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",43.714285714285715,123.0,7
Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",43.42857142857143,78.0,7
Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",43.42857142857143,85.0,7
TamilNadu,Dindigul,"Mendonsa Colony, Dindigul - TNPCB",43.333333333333336,120.0,6
Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",43.285714285714285,111.0,7
Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",43.166666666666664,92.0,6
Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",43.142857142857146,99.0,7
Madhya Pradesh,Indore,"Residency Area, Indore - IMC",42.833333333333336,99.0,6
Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",42.75,94.0,4
Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB",42.714285714285715,98.0,7
Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",42.714285714285715,108.0,7
Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",42.714285714285715,106.0,7
Maharashtra,Mumbai,"Worli, Mumbai - MPCB",42.57142857142857,131.0,7
Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",42.285714285714285,90.0,7
Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",42.166666666666664,80.0,6
Rajasthan,Baran,"Bamboliya, Baran - RSPCB",42.142857142857146,82.0,7
Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",42.0,87.0,7
Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",42.0,82.0,6
Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB",42.0,62.0,2
Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",41.857142857142854,96.0,7
Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",41.857142857142854,119.0,7
Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",41.714285714285715,88.0,7
Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB",41.714285714285715,72.0,7
Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",41.57142857142857,113.0,7
Maharashtra,Thane,"Upvan Fort, Thane - MPCB",41.285714285714285,82.0,7
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",41.142857142857146,112.0,7
Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",41.142857142857146,130.0,7
Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",41.142857142857146,111.0,7
TamilNadu,Chennai,"Manali, Chennai - CPCB",41.142857142857146,114.0,7
Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",41.142857142857146,117.0,7
Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB",41.0,92.0,7
Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",40.857142857142854,96.0,7
Bihar,Buxar,"Charitra Van, Buxar - BSPCB",40.857142857142854,92.0,7
Maharashtra,Virar,"Bolinj, Virar - MPCB",40.857142857142854,88.0,7
Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",40.714285714285715,86.0,7
Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",40.285714285714285,105.0,7
Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB",40.142857142857146,98.0,7
Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",40.142857142857146,112.0,7
Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",40.142857142857146,102.0,7
Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",40.0,146.0,6
Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB",39.857142857142854,102.0,7
Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",39.57142857142857,87.0,7
Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",39.57142857142857,89.0,7
Maharashtra,Dhule,"Deopur, Dhule - MPCB",39.5,64.0,2
Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",39.42857142857143,104.0,7
Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",39.142857142857146,77.0,7
Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB",39.0,89.0,6
Odisha,Tensa,"Barsua Iron Ore Mines, Tensa - OSPCB",38.42857142857143,99.0,7
Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",38.333333333333336,86.0,6
