city,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,cluster
Agartala,24.0,10.0,21.0,172.0,45.0,31.0,22.0,2
Yadgir,34.0,0.0,0.0,19.0,98.0,97.0,16.0,2
Vrindavan,28.0,11.0,12.0,11.0,72.0,11.0,27.0,2
Suakati,15.0,9.0,12.0,43.0,128.0,102.0,28.0,2
Ramanagara,29.0,1.0,17.0,51.0,74.0,77.0,25.0,2
Salem,3.0,3.0,12.0,16.0,66.0,70.0,32.0,2
Saharsa,35.0,4.0,1.0,28.0,75.0,49.0,17.0,2
Pratapgarh,28.0,4.0,28.0,90.0,115.0,61.0,5.0,2
Parbhani,27.0,9.0,24.0,25.0,60.0,38.0,18.0,2
Patiala,44.0,4.0,19.0,39.0,80.0,61.0,14.0,2
Muzaffarnagar,38.0,6.0,21.0,78.0,116.0,94.0,22.0,2
Muzaffarpur,21.666666666666668,3.5,12.666666666666666,115.33333333333333,135.0,96.5,12.666666666666666,2
Nalbari,24.0,2.0,17.0,39.0,105.0,90.0,5.0,2
Nashik,27.25,4.0,22.25,55.5,113.5,87.0,23.75,2
Nanded,23.0,4.0,21.0,48.0,93.0,56.0,15.0,2
Purnia,61.0,3.0,14.0,32.0,40.0,51.0,16.0,2
Raipur,25.75,3.75,47.0,2.3333333333333335,74.75,50.0,9.75,2
Hassan,6.0,2.0,13.0,3.0,108.0,106.0,2.0,2
Dharwad,40.0,6.0,25.0,48.0,71.0,49.0,7.0,2
Coimbatore,23.0,1.5,19.5,53.5,82.0,77.5,21.5,2
Davanagere,39.0,2.0,13.0,19.0,102.0,99.0,7.0,2
Gadag,42.0,2.0,14.0,51.0,59.0,18.0,18.0,2
Kalyan,15.0,1.0,6.0,26.0,89.0,68.0,11.5,2
Kashipur,28.0,8.0,36.0,30.0,87.0,81.0,7.0,2
Karur,16.0,0.0,11.0,30.0,69.0,69.0,15.0,2
Jabalpur,33.5,2.75,42.0,47.5,66.75,35.0,11.25,2
